Course: 24Sp Data Structures and Algo 1 (ID: 95142)
  - Assignment: Syllabus Quiz | Due Date: 2024-02-03 | Due Time: 04:59:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW05 | Due Date: 2024-02-26 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW06 | Due Date: 2024-03-11 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW07 | Due Date: 2024-03-18 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW08 | Due Date: 2024-03-25 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 1 days, 1 hours, 6 minutes
  - Assignment: HW09 | Due Date: 2024-04-05 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 12 days, 1 hours, 6 minutes
  - Assignment: HW10 | Due Date: 2024-04-12 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 19 days, 1 hours, 6 minutes
  - Assignment: HW03 | Due Date: 2024-02-07 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW04 | Due Date: 2024-02-14 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW11 | Due Date: 2024-04-19 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 26 days, 1 hours, 6 minutes
  - Assignment: HW12 | Due Date: 2024-04-26 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 33 days, 1 hours, 6 minutes
  - Assignment: Week01 Reading Quiz | Due Date: 2024-01-19 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week02 Reading Quiz | Due Date: 2024-01-26 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week04 Reading Quiz | Due Date: 2024-02-09 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week03 Reading Quiz | Due Date: 2024-02-02 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 01 | Due Date: 2024-01-22 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 02 | Due Date: 2024-01-29 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 03 | Due Date: 2024-02-05 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 04 | Due Date: 2024-02-12 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Quiz00 (Practice) | Due Date: No due date | Due Time: No due time | Status: No due date | Remaining Time: N/A
  - Assignment: Quiz01 | Due Date: No due date | Due Time: No due time | Status: No due date | Remaining Time: N/A
  - Assignment: Quiz02 | Due Date: No due date | Due Time: No due time | Status: No due date | Remaining Time: N/A
  - Assignment: Quiz03 | Due Date: 2024-02-08 | Due Time: 03:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Quiz04 | Due Date: No due date | Due Time: No due time | Status: No due date | Remaining Time: N/A
  - Assignment: Quiz04 | Due Date: 2024-02-15 | Due Time: 03:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 05 | Due Date: 2024-02-23 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week05 Reading Quiz | Due Date: 2024-02-21 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 06 | Due Date: 2024-03-01 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week06 Reading Quiz | Due Date: 2024-02-28 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW05 | Due Date: 2024-02-26 | Due Time: 07:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 07 | Due Date: 2024-03-15 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week07 Reading Quiz | Due Date: 2024-03-13 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW06 | Due Date: 2024-03-11 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week08 Reading Quiz | Due Date: 2024-03-20 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: HW07 | Due Date: 2024-03-18 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Chapter Summary 08 | Due Date: 2024-03-22 | Due Time: 06:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Week09 Reading Quiz | Due Date: 2024-04-01 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 8 days, 1 hours, 6 minutes
  - Assignment: HW08 | Due Date: 2024-03-25 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 1 days, 1 hours, 6 minutes
  - Assignment: Chapter Summary 09 | Due Date: 2024-04-03 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 10 days, 1 hours, 6 minutes
  - Assignment: Week10 Reading Quiz | Due Date: 2024-04-08 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 15 days, 1 hours, 6 minutes
  - Assignment: HW09 | Due Date: 2024-04-05 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 12 days, 1 hours, 6 minutes
  - Assignment: Chapter Summary 10 | Due Date: 2024-04-10 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 17 days, 1 hours, 6 minutes
  - Assignment: Week11 Reading Quiz | Due Date: 2024-04-15 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 22 days, 1 hours, 6 minutes
  - Assignment: HW10 | Due Date: 2024-04-12 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 19 days, 1 hours, 6 minutes
  - Assignment: Chapter Summary 11 | Due Date: 2024-04-17 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 24 days, 1 hours, 6 minutes
  - Assignment: Week12 Reading Quiz | Due Date: 2024-04-22 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 29 days, 1 hours, 6 minutes
  - Assignment: HW11 | Due Date: 2024-04-19 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 26 days, 1 hours, 6 minutes
  - Assignment: Chapter Summary 12 | Due Date: 2024-04-24 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 31 days, 1 hours, 6 minutes
  - Assignment: HW12 | Due Date: 2024-04-26 | Due Time: 06:00:00Z | Status: Active | Remaining Time: 33 days, 1 hours, 6 minutes
Course: SURE: How to Perform Research (ID: 92492)
  - Assignment: Getting to Know You (Mandatory) | Due Date: 2024-01-23 | Due Time: 17:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Pre-Course Survey (Mandatory) | Due Date: 2024-01-30 | Due Time: 20:30:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 1 - Letter to Your Future Self  | Due Date: 2024-01-31 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 2 - What's Important to You in a Lab | Due Date: 2024-02-06 | Due Time: 17:00:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Family Feud - In Class Activity | Due Date: No due date | Due Time: No due time | Status: No due date | Remaining Time: N/A
  - Assignment: Journal 3 - What makes you excited about science | Due Date: 2024-02-13 | Due Time: 20:30:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Interest Area Activity  | Due Date: 2024-02-07 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 4 - Resume Draft | Due Date: 2024-02-20 | Due Time: 20:30:00Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 5 - Contact Email Drafts | Due Date: 2024-02-28 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Contact Email (Mandatory) | Due Date: 2024-03-13 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Finding Opportunities Activity | Due Date: 2024-02-21 | Due Time: 04:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 6 - Interview Prep  | Due Date: 2024-03-13 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Mock Interview Participation | Due Date: 2024-03-13 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 7 - Lab Tours | Due Date: 2024-03-20 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
  - Assignment: Journal 8 - Undergraduate Research Panel | Due Date: 2024-03-26 | Due Time: 19:30:00Z | Status: Active | Remaining Time: 2 days, 14 hours, 36 minutes
  - Assignment: Lab Tour Participation | Due Date: 2024-03-20 | Due Time: 03:59:59Z | Status: Past due | Remaining Time: N/A
